127.0.0.1 - - [03/Nov/2022:17:10:51 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [03/Nov/2022:17:10:52 -0300] "GET /crudjspjava/viewlivros.jsp HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [03/Nov/2022:17:10:52 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [03/Nov/2022:17:18:06 -0300] "GET /crudjspjava/viewlivros.jsp HTTP/1.1" 200 2185
0:0:0:0:0:0:0:1 - - [03/Nov/2022:17:25:39 -0300] "GET /crudjspjava/viewlivros.jsp HTTP/1.1" 200 2196
0:0:0:0:0:0:0:1 - - [03/Nov/2022:17:26:27 -0300] "GET /crudjspjava/viewlivros.jsp HTTP/1.1" 200 2076
0:0:0:0:0:0:0:1 - - [03/Nov/2022:17:31:48 -0300] "GET /crudjspjava/inicio.html HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [03/Nov/2022:17:31:49 -0300] "GET /crudjspjava/viewlivros.jsp HTTP/1.1" 200 2076
0:0:0:0:0:0:0:1 - - [03/Nov/2022:17:32:03 -0300] "GET /crudjspjava/inicio.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Nov/2022:17:32:06 -0300] "GET /crudjspjava/viewlivros.jsp HTTP/1.1" 200 2076
0:0:0:0:0:0:0:1 - - [03/Nov/2022:17:33:49 -0300] "GET /crudjspjava/inicio.html HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [03/Nov/2022:17:33:54 -0300] "GET /crudjspjava/inicio.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Nov/2022:17:33:55 -0300] "GET /crudjspjava/inicio.html HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [03/Nov/2022:17:33:55 -0300] "GET /crudjspjava/inicio.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Nov/2022:17:33:55 -0300] "GET /crudjspjava/inicio.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Nov/2022:17:33:55 -0300] "GET /crudjspjava/inicio.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Nov/2022:17:34:01 -0300] "GET /crudjspjava/inicio.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Nov/2022:17:34:03 -0300] "GET /crudjspjava/inicio.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Nov/2022:17:34:03 -0300] "GET /crudjspjava/inicio.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Nov/2022:17:34:03 -0300] "GET /crudjspjava/inicio.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Nov/2022:17:34:05 -0300] "GET /crudjspjava/inicio.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Nov/2022:17:34:05 -0300] "GET /crudjspjava/inicio.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Nov/2022:17:34:05 -0300] "GET /crudjspjava/inicio.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Nov/2022:17:34:05 -0300] "GET /crudjspjava/inicio.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Nov/2022:17:34:06 -0300] "GET /crudjspjava/inicio.html HTTP/1.1" 304 -
